index_pos,geno_pos
0,chr01 0
1,chr01 20000
2,chr01 40000
3,chr01 60000
4,chr01 80000
5,chr01 100000
6,chr01 120000
7,chr01 140000
8,chr01 160000
9,chr01 180000
10,chr01 200000
11,chr01 220000
12,chr02 0
13,chr02 20000
14,chr02 40000
15,chr02 60000
16,chr02 80000
17,chr02 100000
18,chr02 120000
19,chr02 140000
20,chr02 160000
21,chr02 180000
22,chr02 200000
23,chr02 220000
24,chr02 240000
25,chr02 260000
26,chr02 280000
27,chr02 300000
28,chr02 320000
29,chr02 340000
30,chr02 360000
31,chr02 380000
32,chr02 400000
33,chr02 420000
34,chr02 440000
35,chr02 460000
36,chr02 480000
37,chr02 500000
38,chr02 520000
39,chr02 540000
40,chr02 560000
41,chr02 580000
42,chr02 600000
43,chr02 620000
44,chr02 640000
45,chr02 660000
46,chr02 680000
47,chr02 700000
48,chr02 720000
49,chr02 740000
50,chr02 760000
51,chr02 780000
52,chr02 800000
53,chr03 0
54,chr03 20000
55,chr03 40000
56,chr03 60000
57,chr03 80000
58,chr03 100000
59,chr03 120000
60,chr03 140000
61,chr03 160000
62,chr03 180000
63,chr03 200000
64,chr03 220000
65,chr03 240000
66,chr03 260000
67,chr03 280000
68,chr03 300000
69,chr04 0
70,chr04 20000
71,chr04 40000
72,chr04 60000
73,chr04 80000
74,chr04 100000
75,chr04 120000
76,chr04 140000
77,chr04 160000
78,chr04 180000
79,chr04 200000
80,chr04 220000
81,chr04 240000
82,chr04 260000
83,chr04 280000
84,chr04 300000
85,chr04 320000
86,chr04 340000
87,chr04 360000
88,chr04 380000
89,chr04 400000
90,chr04 420000
91,chr04 440000
92,chr04 460000
93,chr04 480000
94,chr04 500000
95,chr04 520000
96,chr04 540000
97,chr04 560000
98,chr04 580000
99,chr04 600000
100,chr04 620000
101,chr04 640000
102,chr04 660000
103,chr04 680000
104,chr04 700000
105,chr04 720000
106,chr04 740000
107,chr04 760000
108,chr04 780000
109,chr04 800000
110,chr04 820000
111,chr04 840000
112,chr04 860000
113,chr04 880000
114,chr04 900000
115,chr04 920000
116,chr04 940000
117,chr04 960000
118,chr04 980000
119,chr04 1000000
120,chr04 1020000
121,chr04 1040000
122,chr04 1060000
123,chr04 1080000
124,chr04 1100000
125,chr04 1120000
126,chr04 1140000
127,chr04 1160000
128,chr04 1180000
129,chr04 1200000
130,chr04 1220000
131,chr04 1240000
132,chr04 1260000
133,chr04 1280000
134,chr04 1300000
135,chr04 1320000
136,chr04 1340000
137,chr04 1360000
138,chr04 1380000
139,chr04 1400000
140,chr04 1420000
141,chr04 1440000
142,chr04 1460000
143,chr04 1480000
144,chr04 1500000
145,chr04 1520000
146,chr05 0
147,chr05 20000
148,chr05 40000
149,chr05 60000
150,chr05 80000
151,chr05 100000
152,chr05 120000
153,chr05 140000
154,chr05 160000
155,chr05 180000
156,chr05 200000
157,chr05 220000
158,chr05 240000
159,chr05 260000
160,chr05 280000
161,chr05 300000
162,chr05 320000
163,chr05 340000
164,chr05 360000
165,chr05 380000
166,chr05 400000
167,chr05 420000
168,chr05 440000
169,chr05 460000
170,chr05 480000
171,chr05 500000
172,chr05 520000
173,chr05 540000
174,chr05 560000
175,chr06 0
176,chr06 20000
177,chr06 40000
178,chr06 60000
179,chr06 80000
180,chr06 100000
181,chr06 120000
182,chr06 140000
183,chr06 160000
184,chr06 180000
185,chr06 200000
186,chr06 220000
187,chr06 240000
188,chr06 260000
189,chr07 0
190,chr07 20000
191,chr07 40000
192,chr07 60000
193,chr07 80000
194,chr07 100000
195,chr07 120000
196,chr07 140000
197,chr07 160000
198,chr07 180000
199,chr07 200000
200,chr07 220000
201,chr07 240000
202,chr07 260000
203,chr07 280000
204,chr07 300000
205,chr07 320000
206,chr07 340000
207,chr07 360000
208,chr07 380000
209,chr07 400000
210,chr07 420000
211,chr07 440000
212,chr07 460000
213,chr07 480000
214,chr07 500000
215,chr07 520000
216,chr07 540000
217,chr07 560000
218,chr07 580000
219,chr07 600000
220,chr07 620000
221,chr07 640000
222,chr07 660000
223,chr07 680000
224,chr07 700000
225,chr07 720000
226,chr07 740000
227,chr07 760000
228,chr07 780000
229,chr07 800000
230,chr07 820000
231,chr07 840000
232,chr07 860000
233,chr07 880000
234,chr07 900000
235,chr07 920000
236,chr07 940000
237,chr07 960000
238,chr07 980000
239,chr07 1000000
240,chr07 1020000
241,chr07 1040000
242,chr07 1060000
243,chr07 1080000
244,chr08 0
245,chr08 20000
246,chr08 40000
247,chr08 60000
248,chr08 80000
249,chr08 100000
250,chr08 120000
251,chr08 140000
252,chr08 160000
253,chr08 180000
254,chr08 200000
255,chr08 220000
256,chr08 240000
257,chr08 260000
258,chr08 280000
259,chr08 300000
260,chr08 320000
261,chr08 340000
262,chr08 360000
263,chr08 380000
264,chr08 400000
265,chr08 420000
266,chr08 440000
267,chr08 460000
268,chr08 480000
269,chr08 500000
270,chr08 520000
271,chr08 540000
272,chr08 560000
273,chr09 0
274,chr09 20000
275,chr09 40000
276,chr09 60000
277,chr09 80000
278,chr09 100000
279,chr09 120000
280,chr09 140000
281,chr09 160000
282,chr09 180000
283,chr09 200000
284,chr09 220000
285,chr09 240000
286,chr09 260000
287,chr09 280000
288,chr09 300000
289,chr09 320000
290,chr09 340000
291,chr09 360000
292,chr09 380000
293,chr09 400000
294,chr09 420000
295,chr10 0
296,chr10 20000
297,chr10 40000
298,chr10 60000
299,chr10 80000
300,chr10 100000
301,chr10 120000
302,chr10 140000
303,chr10 160000
304,chr10 180000
305,chr10 200000
306,chr10 220000
307,chr10 240000
308,chr10 260000
309,chr10 280000
310,chr10 300000
311,chr10 320000
312,chr10 340000
313,chr10 360000
314,chr10 380000
315,chr10 400000
316,chr10 420000
317,chr10 440000
318,chr10 460000
319,chr10 480000
320,chr10 500000
321,chr10 520000
322,chr10 540000
323,chr10 560000
324,chr10 580000
325,chr10 600000
326,chr10 620000
327,chr10 640000
328,chr10 660000
329,chr10 680000
330,chr10 700000
331,chr10 720000
332,chr10 740000
333,chr11 0
334,chr11 20000
335,chr11 40000
336,chr11 60000
337,chr11 80000
338,chr11 100000
339,chr11 120000
340,chr11 140000
341,chr11 160000
342,chr11 180000
343,chr11 200000
344,chr11 220000
345,chr11 240000
346,chr11 260000
347,chr11 280000
348,chr11 300000
349,chr11 320000
350,chr11 340000
351,chr11 360000
352,chr11 380000
353,chr11 400000
354,chr11 420000
355,chr11 440000
356,chr11 460000
357,chr11 480000
358,chr11 500000
359,chr11 520000
360,chr11 540000
361,chr11 560000
362,chr11 580000
363,chr11 600000
364,chr11 620000
365,chr11 640000
366,chr11 660000
367,chr12 0
368,chr12 20000
369,chr12 40000
370,chr12 60000
371,chr12 80000
372,chr12 100000
373,chr12 120000
374,chr12 140000
375,chr12 160000
376,chr12 180000
377,chr12 200000
378,chr12 220000
379,chr12 240000
380,chr12 260000
381,chr12 280000
382,chr12 300000
383,chr12 320000
384,chr12 340000
385,chr12 360000
386,chr12 380000
387,chr12 400000
388,chr12 420000
389,chr12 440000
390,chr12 460000
391,chr12 480000
392,chr12 500000
393,chr12 520000
394,chr12 540000
395,chr12 560000
396,chr12 580000
397,chr12 600000
398,chr12 620000
399,chr12 640000
400,chr12 660000
401,chr12 680000
402,chr12 700000
403,chr12 720000
404,chr12 740000
405,chr12 760000
406,chr12 780000
407,chr12 800000
408,chr12 820000
409,chr12 840000
410,chr12 860000
411,chr12 880000
412,chr12 900000
413,chr12 920000
414,chr12 940000
415,chr12 960000
416,chr12 980000
417,chr12 1000000
418,chr12 1020000
419,chr12 1040000
420,chr12 1060000
421,chr13 0
422,chr13 20000
423,chr13 40000
424,chr13 60000
425,chr13 80000
426,chr13 100000
427,chr13 120000
428,chr13 140000
429,chr13 160000
430,chr13 180000
431,chr13 200000
432,chr13 220000
433,chr13 240000
434,chr13 260000
435,chr13 280000
436,chr13 300000
437,chr13 320000
438,chr13 340000
439,chr13 360000
440,chr13 380000
441,chr13 400000
442,chr13 420000
443,chr13 440000
444,chr13 460000
